Date	Device Name	Description	Novel	Author	Built?	By Whom?	Product	First Year Made	Additional Details	Bits or Atoms?	Companies Working on This	Link to Doc With Technical Details	Requires Changes to Laws of Physics
	1940	San-Ray Projector	Device produces a habit-forming, nerve-tingling ray that clouds the mind.	Hell Ship of Space	Frederic Arnold Kummer, Jr.	No	N/A	Fictional device	N/A	Fictional concept	Bits			
	1940	Hyperbolic Solenoid	Device that creates and manipulates magnetic fields.	The Exhalted	L. Sprague de Camp	No	N/A	Fictional device	N/A	Fictional concept	Bits			
	1940	Telelubricator	Makes any surface or substance perfectly frictionless.	The Exhalted	L. Sprague de Camp	No	N/A	Fictional device	N/A	Fictional concept	Bits			
	1940	Trumpaphone	A loud, brassy instrument.	The Voyage That Lasted 600 Years	Don Wilcox	No	N/A	Fictional instrument	N/A	Fictional concept	Atoms			
	1940	Slow Glass Rod	A transparent glass rod that makes light travel so slowly that it can trap light within its depths.	The Exhalted	L. Sprague de Camp	No	N/A	Fictional material	N/A	Fictional concept	Atoms			
	1940	Silk-Metal	A very tough fabric.	The Worlds of Tomorrow	Manly Wade Wellman	No	N/A	Fictional material	N/A	Fictional concept	Atoms			
	1940	Synthetic Flesh	Material resembles human flesh, handy for disguises.	The Amazon Fights Again	Thornton Ayre	No	N/A	Fictional material	N/A	Fictional concept	Atoms			
	1940	Radium-Action Lighter	A personal device used to ignite tobacco products.	The Worlds of Tomorrow	Manly Wade Wellman	No	N/A	Fictional product	N/A	Fictional concept	Atoms			
	1940	Neutronium Slippers	Special footgear to keep ones footing in lower gravities.	Revolt on the Tenth World	Edmond Hamilton	No	N/A	Fictional product	N/A	Fictional concept	Atoms			
	1940	Moon Skis	Special wide skis for travel on lunar powder.	Requiem	Robert Heinlein	No	N/A	Fictional product	N/A	Fictional concept	Atoms			
	1940	Refreshing Chamber	Replaces the bathroom in the future history of Robert Heinlein.	Coventry	Robert Heinlein	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1940	Autosight Achronic Beam	A range-finder for weaponry that isn't limited by time, for the ultimate in accuracy.	Hindsight	Jack Williamson	No	N/A	Fictional technology	N/A	Fictional concept	Bits			
	1940	Hush-a-Phone	A special kind of telephone that reduced noise while talking.	The Roads Must Roll	Robert Heinlein	No	N/A	Fictional technology	N/A	Fictional concept	Bits			
	1940	Cyclotronic Ore-Hurler	Using the magnetic properties of an asteroid to send ore hurling across space!	Exit From Asteroid 60	D.L. James	No	N/A	Fictional technology	N/A	Fictional concept	Bits			
	1940	Tumblebug	A monocycle; a motorcycle that balances on a single wheel.	The Roads Must Roll	Robert Heinlein	No	N/A	Fictional vehicle	N/A	Fictional concept	Atoms			
	1940	Two-Wheeled Car	A small passenger vehicle with two centerline wheels.	The Roads Must Roll	Robert Heinlein	No	N/A	Fictional vehicle	N/A	Fictional concept	Atoms			
	1940	Paralysis Bomb	A device like a hand grenade that released paralyzing radiation.	If This Goes On...	Robert Heinlein	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1940	Vibroblade	A knife-like weapon.	If This Goes On...	Robert Heinlein	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1940	Electro-Automatic Pistol	Circular, pocket-sized weapon.	The Worlds of Tomorrow	Manly Wade Wellman	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1940	Atomic Automatic	Fires a special, rocket-like bullet.	Revolt on Io	Jack West	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1940	Paralyzing Gun	Renders senseless any human in its path.	The Achilles Heel	Raymond Z. Gallun	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1940	Conversion Gun	The ray converts the heat in an object to light.	Hell Ship of Space	Frederic Arnold Kummer, Jr.	No	N/A	Fictional weapon	N/A	Fictional concept	Bits			
	1940	Floating Villa	An artificial island several acres in extent.	Doom Over Venus	Edmond Hamilton	No	N/A	Floating habitat	N/A	Fictional concept	Atoms			
	1940	Air Scooter	A flying personal vehicle.	Space Double	Nat Schachner	No	N/A	Flying car	N/A	Fictional concept	Atoms			
	1940	Barrier (Force Field)	Force-field fence.	Coventry	Robert Heinlein	No	N/A	Force field	N/A	Fictional concept	Bits			
	1940	Tectogenetic	Deliberate manipulation of genes to produce unique species.	Crisis in Utopia	Norman L. Knight	No	N/A	Genetic engineering	N/A	Fictional concept	Bits			
	1940	Gesturing Robot	A robot that uses gestures to communicate.	Robbie	Isaac Asimov	No	N/A	Humanoid robot	N/A	Fictional concept	Atoms			
	1940	Talking Robot	An impractical robot, for display only.	Robbie	Isaac Asimov	No	N/A	Humanoid robot	N/A	Fictional concept	Atoms			
	1940	Planetary ID Card	Identification for every person on every planet in the solar system.	Doom Over Venus	Edmond Hamilton	No	N/A	Identification system	N/A	Fictional concept	Bits			
	1940	Atom-Shifter	A device that 'softens' matter, making it possible for a person to pass through.	The Worlds of Tomorrow	Manly Wade Wellman	No	N/A	Matter manipulation	N/A	Fictional concept	Bits			
	1940	Rolling Road	A set of fast-moving strips to move people over distances.	The Roads Must Roll	Robert Heinlein	No	N/A	Moving walkway	N/A	Fictional concept	Atoms			
	1940	Solid Power	A concentrated form of easily accessed energy to supply any need.	Revolt on the Tenth World	Edmond Hamilton	No	N/A	Portable energy	N/A	Fictional concept	Atoms			
	1940	Atom-Gun	A handheld device that sprays atomic fire.	Revolt on the Tenth World	Edmond Hamilton	No	N/A	Ray gun	N/A	Fictional concept	Atoms			
	1940	Test Box	A remote-controlled device for capturing small objects from open space.	The Devil's Pocket	F.E. Hardart	No	N/A	Remote manipulator	N/A	Fictional concept	Atoms			
	1940	Solar Station Switch Room	A power station for the entire solar system.	Doom Over Venus	Edmond Hamilton	No	N/A	Space-based solar	N/A	Fictional concept	Bits			
	1940	Rocket Cruiser	A privately owned space ship.	The Worlds of Tomorrow	Manly Wade Wellman	No	N/A	Spacecraft	N/A	Fictional concept	Atoms			
	1940	Space Tramp	An old, slow spacecraft.	The Invisible World	Ed Earl Repp	No	N/A	Spacecraft	N/A	Fictional concept	Atoms			
	1940	Life-Ship	An emergency escape or survival craft.	The Invisible World	Ed Earl Repp	No	N/A	Spacecraft design	N/A	Fictional concept	Atoms			
	1940	Escape Port	Emergency egress from a space ship for one person.	Hell Ship of Space	Frederic Arnold Kummer, Jr.	No	N/A	Spacecraft design	N/A	Fictional concept	Atoms			
	1940	Voder	Device that produces speech by purely mechanical means.	Exit From Asteroid 60	D.L. James	No	N/A	Speech synthesis	N/A	Fictional concept	Bits			
	1940	Asbestos Sunshade	A means of shielding oneself from the sun's rays.	The Achilles Heel	Raymond Z. Gallun	No	N/A	Sun protection	N/A	Fictional concept	Atoms			
	1940	Mind-Shield	A mental defense or barrier that prevents access to one brain by another person or device.	Slan	A.E. van Vogt	No	N/A	Telepathic shielding	N/A	Fictional concept	Bits			
	1940	Double-Pane Vacuum Window	Double-pane glass separated by vacuum.	The Achilles Heel	Raymond Z. Gallun	No	N/A	Thermal insulation	N/A	Fictional concept	Atoms			
	1940	Vacuum Wall Compartments	Shielding against heat by using walls with evacuated sections.	The Achilles Heel	Raymond Z. Gallun	No	N/A	Thermal insulation	N/A	Fictional concept	Atoms			
	1940	Dream-House	An establishment wherein one could find the finest dream adventures placed in his own mind.	Doom Over Venus	Edmond Hamilton	No	N/A	Virtual reality	N/A	Fictional concept	Bits			
	1940	Dream-Adventures	Dreams sent directly to the brain are more popular than movies.	Doom Over Venus	Edmond Hamilton	No	N/A	Virtual reality	N/A	Fictional concept	Bits			
	1940	Dream-Machine	The mechanism that sent standardized dreams into the brain.	Doom Over Venus	Edmond Hamilton	No	N/A	Virtual reality	N/A	Fictional concept	Bits			
	1940	Bifocal TV Screen Lenses	Using the bottom lens of bifocals as a TV screen.	Doom Over Venus	Edmond Hamilton	No	N/A	Wearable display	N/A	Fictional concept	Bits			
	1940	Solar Reception Screen	A device for converting sunlight to electricity	The Roads Must Roll	Robert Heinlein	Yes	Solar companies	Photovoltaics	1950s	Convert sunlight to electricity	Bits			
	1940	Solar Power Screen	Absorb all solar energy, and emit electrical energy.	Let There Be Light	Lyle Monroe	Yes	Solar companies	Photovoltaic panels	1950s	Converts sunlight into electricity	Bits			
	1940	Ferretscope	A counter-surveillance tool to detect the presence of listening devices.	If This Goes On...	Robert Heinlein	Yes	Security companies	Bug detectors	1950s	Find hidden listening devices	Bits			
	1940	Sunpower Screen	A solar cell array used to provide power for a vehicle.	Coventry	Robert Heinlein	Yes	Solar companies	Solar panels	1950s	Generate electricity from sunlight	Bits			
	1940	Air Blast	An air dryer for personal use.	Coventry	Robert Heinlein	Yes	Appliance companies	Hand dryers	1900s	Electric air dryer	Bits			
	1941	Bone Conduction Receiver	A concealed radio receiver.	Sixth Column	Anson MacDonald	Yes	Hearing aid companies Bone conduction headphones	2000s	Sound through skull vibration	Atoms	Atoms			
	1941	Roboticist	A person who creates or works with robots.	Robot AL-76 Goes Astray	Isaac Asimov	Yes	Robotics engineers	Robotics	20th century	Designing and building robots	Bits			
	1941	Robotics	The engineering field encompassing the creation and maintenance of robots.	Liar	Isaac Asimov	Yes	Engineers	Robotics	20th century	Designing and building robots	Bits			
	1941	Chatterbox' News-Receptor	An appliance for listening to the news that lacked content controls.	Methuselah's Children	Robert Heinlein	Yes	Tech companies	Smart speakers	2010s	Voice-controlled audio	Bits			
	1941	Newsbox (News-Receptor)	Also referred to as a microviewer; could search media programming for news on a particular words used in the broadcast.	Methuselah's Children	Robert Heinlein	Yes	Tech companies	Smart speakers	2010s	Voice-controlled audio	Bits			
	1941	Wall Screen	A large size display for video, anchored to a wall, or actually forming the wall itself.	Star of Dreams	Jack Williamson	Yes	Consumer electronics	Large displays	2000s	Big flatscreen monitors	Bits			
	1941	Stunner	A non-lethal weapon; typically used like a firearm but only renders its victim unconscious.	Fire-Power	S.D. Gottesman	Yes	Law enforcement	Stun guns	1970s	Electric shock weapons	Atoms			
	1941	Space Station	A base of operations in space, typically in orbit around a larger body.	Backlash	Jack Williamson	Yes	NASA, space agencies	Space stations	1970s	Orbiting research platforms	Atoms			
	1941	Talking Speedometer	A gauge that tells you its value verbally	Biddiver	Theodore Sturgeon	Yes	Car manufacturers	Voice alerts	1990s	Audible driver notifications	Bits			
	1941	Automated Hotel Reservation	A hotel that did not use clerks; a self-service hotel.	Methuselah's Children	Robert Heinlein	Yes	Hospitality industry	Online booking	1990s	Digital reservations	Bits			
	1941	Self-Lighting Cigarette	A cigarette with a matchhead built in.	Methuselah's Children	Robert Heinlein	Yes	Tobacco companies	Self-lighting cigarettes	1960s	Built-in ignition	Atoms			
	1941	Space Overalls	Light-duty space suit.	Lost Rocket	Manly Wade Wellman	Yes	NASA, SpaceX	Spacesuits	1960s	For spacewalks and surface EVAs	Atoms			
	1941	Solar Car	A car the energy for which comes from the sun.	The Man Who Bought Mars	Polton Cross	Yes	Car manufacturers	Solar cars	1980s	Powered by sunlight	Bits			
	1941	Slidewalk	A moving sidewalk; a conveyor belt for people.	Sanity	Fritz Leiber	Yes	Airports, malls	Moving walkways	1950s	Flat escalators	Atoms			
	1941	Roving Bomb	Special zero-gee guided bomb.	Lost Rocket	Manly Wade Wellman	Yes	Military	Guided bombs	1940s	Steerable munitions	Atoms			
	1941	Traffic Control Camera	An automated camera system that photographs license plates as cars move past on a road system.	Methuselah's Children	Robert Heinlein	Yes	Governments	Traffic cameras	1960s	Automated monitoring	Bits			
	1941	Parking Orbit	An orbit from which access to the planet's surface via a small auxiliary vessel is quick and uncomplicated.	Methuselah's Children	Robert Heinlein	Yes	NASA, space agencies	Parking orbits	1960s	Holding orbits before landing	Bits			
	1941	Oxygen Freshener	A device that removed carbon dioxide from air and replaced it with fresh oxygen.	Lost Rocket	Manly Wade Wellman	Yes	NASA, SpaceX	CO2 scrubbers	1960s	Removes CO2 on spacecraft	Bits			
	1941	Robopark	An automated parking garage.	Methuselah's Children	Robert Heinlein	Yes	Parking companies	Automated garages	1960s	Self-parking structures	Bits			
	1941	Positronic Brain	A computer CPU with the capacity to rival a human brain.	Reason	Isaac Asimov	No	N/A	AI	N/A	Fictional concept	Atoms			
	1941	Antigrav Boots	Footgear that negate gravity.	The Day We Celebrate	Nelson S. Bond	No	N/A	Anti-gravity device	N/A	Fictional concept	Atoms			
	1941	Pseudogravity	Gravity produced by artifice, rather than by a suitably large mass.	Common Sense	Robert Heinlein	No	N/A	Artificial gravity	N/A	Fictional concept	Bits			
	1941	Charted Planetoid Mines	Charting the planetoids and minor bodies for mining purposes.	The Day We Celebrate	Nelson S. Bond	No	N/A	Asteroid mining	N/A	Fictional concept	Atoms	Astroforge		
	1941	Space Placers	Miners who use placer mining techniques adapted from Earth geology.	The Day We Celebrate	Nelson S. Bond	No	N/A	Asteroid mining	N/A	Fictional concept	Atoms	Astroforge		
	1941	Asteroid Lanes	Regular routes traversed by asteroids.	Jurisdiction	Nat Schachner	No	N/A	Asteroid orbits	N/A	Fictional concept	Bits			
	1941	Atmospherics Switchboard	Make sure each hotel room has the right atmosphere from the right planet.	Lie on the Beam	John Victor Peterson	No	N/A	Atmospheric control	N/A	Fictional concept	Bits			
	1941	Chardion Field	Electronic 'envelope' that retained atmosphere on tiny worldlets.	Star of Dreams	Jack Williamson	No	N/A	Atmospheric retention	N/A	Fictional concept	Bits			
	1941	Automatic Speeding Fine	An automated device that not only computes the speed of a vehicle, but registers and then issues an electronic citation.	Old Fireball	Nat Schachner	No	N/A	Automated law enforcement	N/A	Fictional concept	Bits			
	1941	Young Blood - New Blood For Old	Replacing the blood plasma of older people with material from younger people.	Methuselah's Children	Robert Heinlein	No	N/A	Blood transfusion	N/A	Fictional concept	Atoms			
	1941	Cold-Sleep	A state of hibernation, created by lowered temperature and metabolism.	Methuselah's Children	Robert Heinlein	No	N/A	Cryogenic suspension	N/A	Fictional concept	Atoms			
	1941	Disinto	A disintegrating ray.	Robot AL-76 Goes Astray	Isaac Asimov	No	N/A	Disintegration ray	N/A	Fictional concept	Bits			
	1941	Neoterics	Pure engineering genius on tap.	Microcosmic God	Theodore Sturgeon	No	N/A	Expertise amplification	N/A	Fictional concept	Bits			
	1941	Space Legs	The ability to walk under high gee acceleration on a space ship.	Methuselah's Children	Robert Heinlein	No	N/A	Fictional ability	N/A	Fictional concept	Atoms			
	1941	Anti-Robot Propaganda	Human activity against robots.	Liar	Isaac Asimov	No	N/A	Fictional activism	N/A	Fictional concept	Bits			
	1941	Bee Wing	A flapping wing aircraft in use on Mars.	Slacker's Paradise	Malcolm Jameson	No	N/A	Fictional aircraft	N/A	Fictional concept	Atoms			
	1941	Space Socks	Protective garments for the lower extremities.	Lost Rocket	Manly Wade Wellman	No	N/A	Fictional clothing	N/A	Fictional concept	Atoms			
	1941	Spacehound	Oddly canine, telepathic beast digs in asteroids for metal.	Beast of Space	F.E. Hardart	No	N/A	Fictional creature	N/A	Fictional concept	Atoms			
	1941	Sleep Destroying Field	Causes lack of sleep.	Biddiver	Theodore Sturgeon	No	N/A	Fictional device	N/A	Fictional concept	Atoms			
	1941	Squeaker	Used to search out radium in asteroids.	Beast of Space	F.E. Hardart	No	N/A	Fictional device	N/A	Fictional concept	Atoms			
	1941	Dewlog	A drug with the side-effect of virtually eliminating hunger.	The Traitor	Kurt von Rachen	No	N/A	Fictional drug	N/A	Fictional concept	Atoms			
	1941	Sleep Surrogate	Pharmaceutical designed to make up for lost sleep.	Methuselah's Children	Robert Heinlein	No	N/A	Fictional drug	N/A	Fictional concept	Atoms			
	1941	Psycho-History	The application of psychology to historical data.	Beyond All Weapons	Eric Frank Russell	No	N/A	Fictional field	N/A	Fictional concept	Bits			
	1941	Hell-Stone	An incomparably beautiful and rare jewel.	Star of Dreams	Jack Williamson	No	N/A	Fictional gemstone	N/A	Fictional concept	Atoms			
	1941	Thermatite	Pure energy fuel mined on asteroids.	Jurisdiction	Nat Schachner	No	N/A	Fictional material	N/A	Fictional concept	Atoms			
	1941	Joy-boat Junior	A private space yacht, capable of suborbital journeys.	Methuselah's Children	Robert Heinlein	No	N/A	Fictional spacecraft	N/A	Fictional concept	Atoms			
	1941	Flitter	A small craft used for short-range journeys.	Vortex Blaster	E.E. 'Doc' Smith	No	N/A	Fictional spacecraft	N/A	Fictional concept	Atoms			
	1941	Paralyzing Eye	False eye contains mechanism for causing brief paralysis.	The Best-Laid Scheme	L. Sprague de Camp	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1941	Fresher	"Short for ""refreshing chamber,"", it is the future of personal hygiene technology."	Methuselah's Children	Robert Heinlein	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1941	Magnetic Sandals	Special footgear to walk in zero-gee spacecraft.	Star of Dreams	Jack Williamson	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1941	Magnetized Boots	Special shoes to allow walking in and around a metal ship with no artificial gravity.	Lost Rocket	Manly Wade Wellman	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1941	Quench Field	Stopped runaway nuclear reactions by quenching the cascades of neutrons.	The Purple Light	E. Waldo Hunter	No	N/A	Fictional technology	N/A	Fictional concept	Bits			
	1941	Camden Speedster	A super sports utility vehicle (SUV); it drives on the highway, the water and jumps into the air for short periods.	Methuselah's Children	Robert Heinlein	No	N/A	Fictional vehicle	N/A	Fictional concept	Atoms			
	1941	Metal Solvent Ray Thrower	Acts like a flame thrower in space.	Lost Rocket	Manly Wade Wellman	No	N/A	Fictional weapon	N/A	Fictional concept	Atoms			
	1941	Epileptigenic Ray	Ray causes uncontrollable spasms in human subjects.	Sixth Column	Anson MacDonald	No	N/A	Fictional weapon	N/A	Fictional concept	Bits			
	1941	Mind Control Genetically Modified Food	Plants that are modified to produce specific combinations of flavors.	Methuselah's Children	Robert Heinlein	No	N/A	Genetic engineering	N/A	Fictional concept	Atoms			
	1941	Geodesic Inflexors	Propulsion provided not by pushing against matter, but against spacetime.	Star of Dreams	Jack Williamson	No	N/A	Gravitic propulsion	N/A	Fictional concept	Bits			
	1941	Cold-Rest	Lowering body temperature and metabolic levels, as in hibernation; also called reduced temperature somnolence.	Methuselah's Children	Robert Heinlein	No	N/A	Hibernation	N/A	Fictional concept	Atoms			
	1941	Momentum Screen	"Allows a spacemen to avoid the problem of ""high gee"" forces on take-off."	Completely Automatic	Theodore Sturgeon	No	N/A	Inertia dampening	N/A	Fictional concept	Atoms			
	1941	Interplanetary Union Of Spacemen	An organized union of people who work in space.	Old Fireball	Nat Schachner	No	N/A	Labor union	N/A	Fictional concept	Bits			
	1941	Space Lawyer (Sky-Lawyer)	A lawyer with special knowledge of space law.	Jurisdiction	Nat Schachner	No	N/A	Legal profession	N/A	Fictional concept	Bits			
	1941	Floating Robot	A robot that floats in mid-air.	The Floating Robot	David Wright O'Brien	No	N/A	Levitating robot	N/A	Fictional concept	Atoms			
	1941	Alterable License Number	A device which permits a driver to alter the license plate without leaving the vehicle.	Methuselah's Children	Robert Heinlein	No	N/A	License plate modification	N/A	Fictional concept	Bits			
	1941	Howard Families	A project designed to produce a group of people with exceptionally long life.	Methuselah's Children	Robert Heinlein	No	N/A	Life extension	N/A	Fictional concept	Bits			
	1941	Improve Memory	Help immortals make sense of their memories.	Methuselah's Children	Robert Heinlein	No	N/A	Memory enhancement	N/A	Fictional concept	Bits			
	1941	Golden Shuttles (Mechanical Mice)	Very small robots with an appetite for watch parts.	The Mechanical Mice	Maurice G. Hugi	No	N/A	Microrobots	N/A	Fictional concept	Atoms			
	1941	Hypnotic injunction	A method of hypnosis that prevents people from revealing particular information.	Methuselah's Children	Robert Heinlein	No	N/A	Mind control	N/A	Fictional concept	Bits			
	1941	Hypnosis Ray	Eases the words of dictators into the minds of the credulous.	Beyond All Weapons	Eric Frank Russell	No	N/A	Mind control ray	N/A	Fictional concept	Bits			
	1941	Instant Customized Clothing	A machine that produced a selected item of clothing, on the spot, based on customer demand.	Methuselah's Children	Robert Heinlein	No	N/A	On-demand manufacturing	N/A	Fictional concept	Atoms			
	1941	Blastick	A scorching beam weapon	The Traitor	Kurt von Rachen	No	N/A	Ray gun	N/A	Fictional concept	Atoms			
	1941	Energy Weapon	A device that fires pure energy, used as a weapon.	Seesaw	A.E. van Vogt	No	N/A	Ray gun	N/A	Fictional concept	Bits			
	1941	Robot Music	Music created and performed entirely by robots.	The Robot God	Ray Cummings	No	N/A	Robot art	N/A	Fictional concept	Bits			
	1941	Charging Arm	A specialized device allowing a robot to charge itself.	Masters of Chance	William Morrison	No	N/A	Robotics	N/A	Fictional concept	Atoms			
	1941	Controlway	An automated highway system that takes full operational control of vehicles traveling upon it.	Methuselah's Children	Robert Heinlein	No	N/A	Self-driving infrastructure	N/A	Fictional concept	Bits			
	1941	Robot Mother	A self-replicating robot, which creates a series of helper bots that adapt to conditions as needed.	The Mechanical Mice	Maurice G. Hugi	No	N/A	Self-replicating robot	N/A	Fictional concept	Atoms			
	1941	Group Ego	A group mind; a single entity that shares a number of bodies.	Methuselah's Children	Robert Heinlein	No	N/A	Shared consciousness	N/A	Fictional concept	Bits			
	1941	Lunar Used Spacecraft Lot	A sales lot for used spacecraft	Methuselah's Children	Robert Heinlein	No	N/A	Space commerce	N/A	Fictional concept	Atoms			
	1941	Space Rush	The Outer Space equivalent of the gold rush.	Jurisdiction	Nat Schachner	No	N/A	Space exploitation	N/A	Fictional concept	Bits			
	1941	Asteroid Claim Law	The legal steps required in claiming an asteroid	Jurisdiction	Nat Schachner	No	N/A	Space law	N/A	Fictional concept	Bits			
	1941	Moon-Terror	A syndrome common to people who live in less than half Earth-normal gravity.	Star of Dreams	Jack Williamson	No	N/A	Space medicine	N/A	Fictional concept	Bits			
	1941	Interplanetary Clearance	Bureaucratic red tape associated with busy space ports.	Methuselah's Children	Robert Heinlein	No	N/A	Space regulation	N/A	Fictional concept	Bits			
	1941	Space Tanned	A tan acquired by being exposed to sunlight while outside the atmosphere.	Methuselah's Children	Robert Heinlein	No	N/A	Space travel	N/A	Fictional concept	N/A			
	1941	Orbital Mirror	A huge reflective surface in orbit around a planet or moon, the purpose of which is to focus sunlight onto the surface.	Completely Automatic	Theodore Sturgeon	No	N/A	Space-based solar	N/A	Fictional concept	Atoms			
	1941	Solar Station	A satellite that gathers solar energy in space and then beams it to Earth (or other planetary surface).	Reason	Isaac Asimov	No	N/A	Space-based solar	N/A	Fictional concept	Atoms			
	1941	Solar Energy Beam	A solar energy plant on Mercury provides power for projects all over the solar system.	Masquerade	Clifford Simak	No	N/A	Space-based solar	N/A	Fictional concept	Bits			
	1941	Docking-Cradle	Holds a space craft in gravity.	They Never Came Back	Fritz Leiber	No	N/A	Spacecraft berthing	N/A	Fictional concept	Atoms			
	1941	Space Tunnel	An enclosed gang plank extended between space ships.	The Man Who Bought Mars	Polton Cross	No	N/A	Spacecraft docking	N/A	Fictional concept	Atoms			
	1941	Pilot Beam	A signalling device that space craft in orbit descending to Earth could home in on and land.	Methuselah's Children	Murray Leinster	No	N/A	Spacecraft guidance	N/A	Fictional concept	Bits			
	1941	Delayed Action Stereoscopic Principle	Distinguishing far off space craft by relative speed against the fixed stars.	Methuselah's Children	Robert Heinlein	No	N/A	Spacecraft tracking	N/A	Fictional concept	Bits			
	1941	Sweep Field	Pulls in interplanetary matter for space ship propulsion.	Methuselah's Children	Robert Heinlein	No	N/A	Spaceship propulsion	N/A	Fictional concept	Bits			
	1941	Automatic Refueling Screen	Repels objects that are too big, and gathers small ones for fuel.	Biddiver	Theodore Sturgeon	No	N/A	Spaceship refueling	N/A	Fictional concept	Bits			
	1941	Visible Halo	Providing a religious figure with a technological sign of grace.	Sixth Column	Anson MacDonald	No	N/A	Stagecraft	N/A	Fictional concept	Bits			
	1941	Electrono-Mirror	Focuses the sun's rays on a planetary surface for terraforming purposes.	The Day We Celebrate	Nelson S. Bond	No	N/A	Terraforming	N/A	Fictional concept	Atoms			
	1941	Vanwinkling	Another name for time-traveling into the future.	The Best-Laid Scheme	L. Sprague de Camp	No	N/A	Time travel	N/A	Fictional concept	Atoms			
	1941	Psychophone	A device that allows the user to tune their mind to a future reality - a time-traveling device.	The Mechanical Mice	Maurice G. Hugi	No	N/A	Time travel	N/A	Fictional concept	Bits			
	1941	Weather Integrator	An entire technology for controlling the weather.	Methuselah's Children	Robert Heinlein	No	N/A	Weather control	N/A	Fictional concept	Bits			
	1941	Time Line	The sequence of events leading up to, and past, this moment.	Time Wants A Skeleton	Ross Rocklynne	No	N/A	Concept of time	N/A	Scientific concept	Bits			
	1941	Uranatomic	An atomic pile that generates electricity.	Backlash	Jack Williamson	Yes	Energy companies	Nuclear power	1950s	Electricity from nuclear reactions	Bits			
	1941	Astrogation (to Astrogate)	To navigate in space.	Methuselah's Children	Robert Heinlein	Yes	NASA, space agencies	Space navigation	1950s	Guiding spacecraft	Bits			
	1941	Identification Beacon	Radio pulse to identify orbiting craft.	Methuselah's Children	Robert Heinlein	Yes	Aviation	Transponders	1930s	Aircraft tracking	Bits			
	1941	A-Bomb	"Abbreviation for ""atomic bomb""."	Sixth Column	Anson MacDonald	Yes	Military research	Nuclear weapons	1945	First atomic bomb	Atoms			
	1942	Space Tugs	Early use of familiar ocean vehicle in space.	Describe a Circle	Eric Frank Russell	No	N/A	Concept	N/A	Applying nautical concepts to space	Atoms			
	1942	Wheelchair Space Station	A home in space.	Waldo	Robert Heinlein	No	N/A	Design concept	N/A	Concept for a modular space station	Atoms			
	1942	Thermodyne Heat Ray	Device focuses, and projects, a heat beam.	A Brand New World	Ray Cummings	No	N/A	Prototype	N/A	Directed energy weapon	Atoms			
	1942	Antigravity Plate (Antigravity Raft)	A thin, circular craft that floats.	Co-Operate or Else	A.E. van Vogt	No	N/A	Concept	N/A	Early antigravity concept	Atoms			
	1942	News Roundup	A device that presents brief story outlines, any of which can be chosen to find details.	Beyond This Horizon	Robert Heinlein	No	N/A	Concept	N/A	Early concept of news aggregator	Bits			
	1942	Paragravity	Artificial gravity.	Collision Orbit	Jack Williamson	No	N/A	Concept	N/A	Early idea for artificial gravity	Atoms			
	1942	Insosuit	A space suit specially designed to resist extreme heat.	Runaround	Isaac Asimov	No	N/A	Concept	N/A	Early idea for heat resistant space suits	Atoms			
	1942	Thermalarm Relays	Detects objects by their heat radiation, so space craft can maneuver around them.	Collision Orbit	Jack Williamson	No	N/A	Concept	N/A	Early idea for heat sensing	Atoms			
	1942	Radiation Garment	Clothing worn by ordinary citizens to reduce the risk of radiation exposure.	Waldo	Robert Heinlein	No	N/A	Concept	N/A	Early idea for radiation protection	Atoms			
	1942	Weight-Shoes	Devices intended to make it easier to walk on celestial bodies with weaker gravity.	The World With A Thousand Moons	Edmond Hamilton	No	N/A	Concept	N/A	Early idea for simulated gravity	Atoms			
	1942	Venus Equilateral Relay Station	A converted asteroid that served as the relay station for telecommunications throughout the solar system.	QRM - Interplanetary	George O. Smith	No	N/A	Concept	N/A	Early idea for space comms	Atoms			
	1942	Interplanetary Communications Center	The backbone for a solar system-wide communications system.	QRM - Interplanetary	George O. Smith	No	N/A	Concept	N/A	Early idea for space comms	Bits			
	1942	Vac Suit	A space suit, designed for use in vacuum.	Child of the Sun	Leigh Brackett	No	N/A	Concept	N/A	Early idea for space suits	Atoms			
	1942	Dirigible Space Armor (Working Space Suits)	Heavy-duty space suits for mining work on asteroids.	Collision Orbit	Jack Williamson	No	N/A	Concept	N/A	Early idea for space suits	Atoms			
	1942	Wabbler	An autonomous underwater robot.	The Wabbler	Murray Leinster	No	N/A	Concept	N/A	Early idea for underwater drones	Atoms			
	1942	Capillotomer	An automatic shaving machine	Beyond This Horizon	Robert Heinlein	No	N/A	Concept	N/A	Early idea of automation	Atoms			
	1942	Auto-Clerk	An automated accounting system.	Beyond This Horizon	Robert Heinlein	No	N/A	Concept	N/A	Early idea of automation	Bits			
